Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 17:54:14 | 3.1450 (0) | 25.1774 dC | 50.2765 rH | 85.0000 lx | 1.1020 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:15 | 3.1450 (0) | 25.1669 dC | 49.5302 rH | 90.8333 lx | 1.1020 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:16 | 3.1450 (0) | 25.1619 dC | 49.5317 rH | 90.8333 lx | 1.0850 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:17 | 3.1450 (0) | 25.1316 dC | 49.1503 rH | 90.0000 lx | 1.0850 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:18 | 3.1450 (0) | 25.1253 dC | 48.8271 rH | 90.8333 lx | 1.0530 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:19 | 3.1450 (0) | 25.1007 dC | 48.5085 rH | 90.8333 lx | 1.0530 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:21 | 3.1450 (0) | 25.0853 dC | 48.2028 rH | 90.0000 lx | 1.0270 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:22 | 3.1450 (0) | 25.0824 dC | 48.0195 rH | 90.0000 lx | 1.0270 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:23 | 3.1450 (0) | 25.0677 dC | 48.0830 rH | 87.5000 lx | 1.0010 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:24 | 3.1450 (0) | 25.0422 dC | 48.4301 rH | 89.1667 lx | 0.9770 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:25 | 3.1450 (0) | 25.0248 dC | 48.2413 rH | 88.3333 lx | 0.9770 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:26 | 3.1450 (0) | 24.9989 dC | 48.1044 rH | 90.8333 lx | 0.9530 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:27 | 3.1450 (0) | 24.9865 dC | 48.0972 rH | 91.6667 lx | 0.9530 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:28 | 3.1450 (0) | 24.9727 dC | 48.2149 rH | 91.6667 lx | 0.9310 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:30 | 3.1450 (0) | 24.9628 dC | 48.8552 rH | 91.6667 lx | 0.9310 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:31 | 3.1450 (0) | 24.9678 dC | 48.9470 rH | 91.6667 lx | 0.9100 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:32 | 3.1450 (0) | 24.9481 dC | 48.5254 rH | 91.6667 lx | 0.9100 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:33 | 3.1450 (0) | 24.9428 dC | 48.2752 rH | 91.6667 lx | 0.8880 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:34 | 3.1450 (0) | 24.9203 dC | 48.1387 rH | 91.6667 lx | 0.8880 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:35 | 3.1450 (0) | 24.9020 dC | 48.2005 rH | 89.1667 lx | 0.8670 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:36 | 3.1450 (0) | 24.9079 dC | 48.1696 rH | 88.3333 lx | 0.8470 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:37 | 3.1450 (0) | 24.8934 dC | 48.2244 rH | 30.0000 lx | 0.8470 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:54:39 | 3.1450 (0) | 24.8848 dC | 48.1909 rH | 28.3333 lx | 0.8280 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 17:55:11 | 3.1450 (0) | 24.7770 dC | 49.0487 rH | 111.6667 lx | 0.8020 V | -0.0020 mV | -0.0300 mA | 0.0000 mW
