2023/02/05 20:00:32 | 3.1450 (0) | 27.8084 dC | 60.8920 rH | 31.6667 lx | 0.0010 V | -0.0070 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:34 | 3.1450 (0) | 27.7992 dC | 60.9074 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:36 | 3.1450 (0) | 27.7971 dC | 60.9088 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:38 | 3.1450 (0) | 27.7880 dC | 60.8866 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:40 | 3.1450 (0) | 27.7943 dC | 60.8820 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:42 | 3.1450 (0) | 27.8116 dC | 60.8991 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:44 | 3.1450 (0) | 27.8070 dC | 60.8972 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:46 | 3.1450 (0) | 27.8135 dC | 60.9003 rH | 2453.3333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:48 | 3.1450 (0) | 27.8057 dC | 60.8948 rH | 2881.6665 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:50 | 3.1450 (0) | 27.8248 dC | 60.9145 rH | 2810.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:52 | 3.1450 (0) | 27.8191 dC | 60.9213 rH | 3249.9998 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:54 | 3.1450 (0) | 27.8234 dC | 60.9174 rH | 8771.6660 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:56 | 3.1450 (0) | 27.8358 dC | 60.8993 rH | 25363.3320 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:00:58 | 3.1450 (0) | 27.8349 dC | 60.8879 rH | 22826.6660 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:00 | 3.1450 (0) | 27.8404 dC | 60.9145 rH | 24912.4980 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:02 | 3.1450 (0) | 27.8408 dC | 60.8989 rH | 21805.8320 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:04 | 3.1450 (0) | 27.8624 dC | 60.9108 rH | 22506.6660 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:06 | 3.1450 (0) | 27.8587 dC | 60.9167 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:08 | 3.1450 (0) | 27.8643 dC | 60.8881 rH | 77.5000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:10 | 3.1450 (0) | 27.8627 dC | 60.8972 rH | 67.5000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:12 | 3.1450 (0) | 27.8664 dC | 60.8872 rH | 65.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:14 | 3.1450 (0) | 27.8746 dC | 60.8585 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:16 | 3.1450 (0) | 27.8463 dC | 60.9342 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:18 | 3.1450 (0) | 27.8568 dC | 60.8793 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:20 | 3.1450 (0) | 27.8549 dC | 60.8919 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:22 | 3.1450 (0) | 27.8643 dC | 60.9138 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:24 | 3.1450 (0) | 27.8646 dC | 60.8711 rH | 29.1667 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:26 | 3.1450 (0) | 27.8551 dC | 60.8879 rH | 29.1667 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:28 | 3.1450 (0) | 27.8601 dC | 60.8694 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:30 | 3.1450 (0) | 27.8610 dC | 60.8754 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:32 | 3.1450 (0) | 27.8702 dC | 60.8542 rH | 29.1667 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:34 | 3.1450 (0) | 27.8702 dC | 60.8706 rH | 31.6667 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:36 | 3.1450 (0) | 27.8637 dC | 60.8433 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:38 | 3.1450 (0) | 27.8597 dC | 60.8737 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:40 | 3.1450 (0) | 27.8643 dC | 60.8678 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:42 | 3.1450 (0) | 27.8597 dC | 60.8347 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:44 | 3.1450 (0) | 27.8477 dC | 60.8509 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:46 | 3.1450 (0) | 27.8522 dC | 60.8704 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:48 | 3.1450 (0) | 27.8650 dC | 60.8294 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:50 | 3.1450 (0) | 27.8679 dC | 60.8884 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:52 | 3.1450 (0) | 27.8702 dC | 60.8245 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:54 | 3.1450 (0) | 27.8610 dC | 60.8499 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:56 | 3.1450 (0) | 27.8440 dC | 60.8378 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:01:58 | 3.1450 (0) | 27.8505 dC | 60.8367 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:00 | 3.1450 (0) | 27.8376 dC | 60.8557 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:02 | 3.1450 (0) | 27.8463 dC | 60.8412 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:04 | 3.1450 (0) | 27.8582 dC | 60.8171 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:06 | 3.1450 (0) | 27.8654 dC | 60.8428 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:08 | 3.1450 (0) | 27.8748 dC | 60.8418 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:10 | 3.1450 (0) | 27.8702 dC | 60.8373 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:12 | 3.1450 (0) | 27.8725 dC | 60.8659 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:14 | 3.1450 (0) | 27.8784 dC | 60.8433 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:16 | 3.1450 (0) | 27.8679 dC | 60.8278 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:18 | 3.1450 (0) | 27.8620 dC | 60.8451 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:20 | 3.1450 (0) | 27.8732 dC | 60.8040 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:22 | 3.1450 (0) | 27.8673 dC | 60.8385 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:24 | 3.1450 (0) | 27.8696 dC | 60.8321 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:26 | 3.1450 (0) | 27.8669 dC | 60.8233 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:28 | 3.1450 (0) | 27.8770 dC | 60.8424 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:30 | 3.1450 (0) | 27.8646 dC | 60.8170 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:32 | 3.1450 (0) | 27.8812 dC | 60.8447 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:34 | 3.1450 (0) | 27.8692 dC | 60.8507 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:36 | 3.1450 (0) | 27.8709 dC | 60.8485 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:38 | 3.1450 (0) | 27.8828 dC | 60.8310 rH | 31.6667 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:40 | 3.1450 (0) | 27.8700 dC | 60.7847 rH | 31.6667 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:42 | 3.1450 (0) | 27.8696 dC | 60.8453 rH | 32.5000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:44 | 3.1450 (0) | 27.8687 dC | 60.7892 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:46 | 3.1450 (0) | 27.8778 dC | 60.7999 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:48 | 3.1450 (0) | 27.8709 dC | 60.8043 rH | 31.6667 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:50 | 3.1450 (0) | 27.8761 dC | 60.7882 rH | 31.6667 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:52 | 3.1450 (0) | 27.8696 dC | 60.7914 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:54 | 3.1450 (0) | 27.8605 dC | 60.8186 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:56 | 3.1450 (0) | 27.8709 dC | 60.8309 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:02:58 | 3.1450 (0) | 27.8519 dC | 60.7751 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:00 | 3.1450 (0) | 27.8669 dC | 60.7660 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:02 | 3.1450 (0) | 27.8641 dC | 60.7818 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:04 | 3.1450 (0) | 27.8723 dC | 60.8056 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:06 | 3.1450 (0) | 27.8864 dC | 60.7726 rH | 30.8333 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:08 | 3.1450 (0) | 27.8742 dC | 60.7841 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:10 | 3.1450 (0) | 27.8643 dC | 60.7780 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:12 | 3.1450 (0) | 27.8713 dC | 60.8184 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:14 | 3.1450 (0) | 27.8799 dC | 60.7985 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:16 | 3.1450 (0) | 27.8725 dC | 60.7725 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:18 | 3.1450 (0) | 27.8849 dC | 60.7979 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:03:20 | 3.1450 (0) | 27.8728 dC | 60.7829 rH | 30.0000 lx | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
