2023/02/05 20:17:45 | 3.1450 (0) | 27.9137 dC | 60.0434 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0070 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:17:47 | 3.1450 (0) | 27.9058 dC | 60.0411 rH | 31.6667 lx | 0.2499 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:17:49 | 3.1450 (0) | 27.9205 dC | 60.0216 rH | 31.6667 lx | 0.2499 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:17:51 | 3.1450 (0) | 27.9160 dC | 60.0137 rH | 31.6667 lx | 0.2499 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:17:53 | 3.1450 (0) | 27.9106 dC | 60.0326 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:17:55 | 3.1450 (0) | 27.9146 dC | 60.0430 rH | 31.6667 lx | 0.2499 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:17:57 | 3.1450 (0) | 27.8996 dC | 60.0387 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:17:59 | 3.1450 (0) | 27.9261 dC | 60.0177 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:01 | 3.1450 (0) | 27.9032 dC | 60.0252 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:03 | 3.1450 (0) | 27.9064 dC | 60.0028 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:05 | 2.9570 (0) | 27.9060 dC | 59.9932 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:07 | 3.1450 (0) | 27.9114 dC | 60.0308 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:09 | 3.1450 (0) | 27.9123 dC | 60.0215 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:11 | 3.1450 (0) | 27.8887 dC | 60.0382 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:13 | 3.1450 (0) | 27.9032 dC | 60.0105 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:15 | 3.1450 (0) | 27.9001 dC | 60.0087 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:17 | 3.1450 (0) | 27.9005 dC | 60.0039 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:19 | 3.1450 (0) | 27.9110 dC | 60.0079 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:21 | 3.1450 (0) | 27.9083 dC | 60.0047 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:23 | 3.1450 (0) | 27.9198 dC | 60.0283 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:25 | 3.1450 (0) | 27.9175 dC | 59.9715 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:27 | 3.1450 (0) | 27.9320 dC | 60.0108 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:29 | 3.1450 (0) | 27.9087 dC | 60.0467 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:31 | 3.1450 (0) | 27.9160 dC | 60.0045 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:33 | 3.1450 (0) | 27.9051 dC | 60.0153 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:35 | 3.1450 (0) | 27.9202 dC | 60.0121 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:37 | 3.1450 (0) | 27.8973 dC | 59.9843 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:39 | 3.1450 (0) | 27.8982 dC | 60.0009 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:41 | 3.1450 (0) | 27.9119 dC | 60.0001 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:43 | 3.1450 (0) | 27.9165 dC | 59.9908 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:45 | 3.1450 (0) | 27.8950 dC | 59.9820 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:47 | 3.1450 (0) | 27.9165 dC | 60.0102 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:49 | 3.1450 (0) | 27.9001 dC | 59.9963 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:51 | 3.1450 (0) | 27.9097 dC | 60.0161 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:53 | 3.1450 (0) | 27.9022 dC | 60.0003 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:55 | 3.1450 (0) | 27.9219 dC | 59.9780 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:57 | 3.1450 (0) | 27.9280 dC | 59.9717 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:18:59 | 3.1450 (0) | 27.9013 dC | 59.9736 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:19:01 | 3.1450 (0) | 27.9310 dC | 59.9836 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:19:03 | 3.1450 (0) | 27.9192 dC | 59.9669 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:19:05 | 3.1450 (0) | 27.9018 dC | 59.9679 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:19:07 | 3.1450 (0) | 27.8963 dC | 59.9957 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:19:09 | 3.1450 (0) | 27.9140 dC | 59.9492 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:19:11 | 3.1450 (0) | 27.9041 dC | 59.9733 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:19:13 | 3.1450 (0) | 27.9104 dC | 60.0028 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:19:15 | 3.1450 (0) | 27.9186 dC | 59.9609 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
