

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/06 17:03:51 | 3.1450 (0) | 28.0857 dC | 46.9978 rH | 504.1667 lx | 3.9792 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:03:59 | 3.1450 (0) | 28.1019 dC | 47.0959 rH | 496.6667 lx | 3.9200 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:04:07 | 3.1450 (0) | 28.0891 dC | 47.0491 rH | 505.0000 lx | 3.9858 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:04:16 | 3.1450 (0) | 28.0857 dC | 47.0726 rH | 505.8333 lx | 3.9924 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:04:24 | 3.1450 (0) | 28.0590 dC | 47.0808 rH | 412.5000 lx | 3.2557 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:04:32 | 3.1450 (0) | 28.0706 dC | 47.0912 rH | 416.6667 lx | 3.2886 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:04:40 | 3.1450 (0) | 28.0642 dC | 47.1226 rH | 425.0000 lx | 3.3544 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:04:49 | 3.1450 (0) | 28.0487 dC | 47.1214 rH | 425.8333 lx | 3.3610 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:04:57 | 3.1450 (0) | 28.0632 dC | 47.1393 rH | 425.8333 lx | 3.3610 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:05:05 | 3.1450 (0) | 28.0624 dC | 47.1116 rH | 427.5000 lx | 3.3741 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:05:14 | 3.1450 (0) | 28.0403 dC | 47.1224 rH | 424.1667 lx | 3.3478 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:05:22 | 3.1450 (0) | 28.0478 dC | 47.1460 rH | 421.6667 lx | 3.3281 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:05:31 | 3.1450 (0) | 28.0218 dC | 47.1516 rH | 420.0000 lx | 3.3149 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:05:39 | 3.1450 (0) | 28.0136 dC | 47.1859 rH | 404.1667 lx | 3.1899 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:05:47 | 3.1450 (0) | 28.0094 dC | 47.1868 rH | 403.3333 lx | 3.1834 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:05:56 | 3.1450 (0) | 28.0203 dC | 47.2332 rH | 408.3333 lx | 3.2228 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:06:04 | 3.1450 (0) | 28.0117 dC | 47.1972 rH | 407.5000 lx | 3.2163 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:06:13 | 3.1450 (0) | 28.0172 dC | 47.2371 rH | 408.3333 lx | 3.2228 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:06:21 | 3.1450 (0) | 28.0159 dC | 47.2588 rH | 408.3333 lx | 3.2228 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:06:30 | 3.1450 (0) | 28.0144 dC | 47.2541 rH | 407.5000 lx | 3.2163 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:06:38 | 3.1450 (0) | 27.9902 dC | 47.2758 rH | 410.8333 lx | 3.2426 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:06:46 | 3.1450 (0) | 27.9875 dC | 47.2923 rH | 412.5000 lx | 3.2557 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:06:55 | 3.1450 (0) | 28.0075 dC | 47.2983 rH | 414.1667 lx | 3.2689 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:07:03 | 3.1450 (0) | 27.9928 dC | 47.3008 rH | 460.8333 lx | 3.6372 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:07:12 | 3.1450 (0) | 27.9976 dC | 47.3173 rH | 428.3333 lx | 3.3807 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:07:20 | 3.1450 (0) | 28.0016 dC | 47.3159 rH | 425.8333 lx | 3.3610 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:07:29 | 3.1450 (0) | 27.9846 dC | 47.3306 rH | 425.0000 lx | 3.3544 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:07:37 | 3.1450 (0) | 27.9999 dC | 47.3144 rH | 480.8333 lx | 3.7951 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
