

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/07/11 14:37:30 | 3.1450 (0) | 22.9736 dC | 65.2898 rH | 36.6667 lx | 0.2894 W/m^2 | 12.0680 V | -3.3700 mV | -33.6300 mA | 406.6520 mW
2023/07/11 14:37:35 | 3.1450 (0) | 22.9149 dC | 65.2071 rH | 38.3333 lx | 0.3026 W/m^2 | 12.0650 V | -3.2770 mV | -32.7150 mA | 395.2080 mW
2023/07/11 14:37:40 | 3.1450 (0) | 22.8930 dC | 65.2304 rH | 39.1667 lx | 0.3091 W/m^2 | 12.0760 V | -3.2020 mV | -31.9520 mA | 386.8150 mW
2023/07/11 14:37:45 | 3.1450 (0) | 24.0643 dC | 66.9290 rH | 8.3333 lx | 0.0658 W/m^2 | 12.0870 V | -3.1450 mV | -31.3720 mA | 379.9490 mW
2023/07/11 14:37:50 | 3.1450 (0) | 24.6363 dC | 65.5418 rH | 0.0000 lx | 0.0000 W/m^2 | 12.0870 V | -3.1170 mV | -31.0970 mA | 376.8970 mW
2023/07/11 14:37:55 | 3.1450 (0) | 24.2157 dC | 65.0286 rH | 8.3333 lx | 0.0658 W/m^2 | 12.0960 V | -3.0620 mV | -30.5480 mA | 370.0300 mW
2023/07/11 14:38:00 | 3.1450 (0) | 23.9756 dC | 64.9901 rH | 43.3333 lx | 0.3420 W/m^2 | 12.1050 V | -3.0570 mV | -30.4870 mA | 370.0300 mW
2023/07/11 14:38:05 | 3.1450 (0) | 23.8514 dC | 64.9211 rH | 44.1667 lx | 0.3486 W/m^2 | 12.1080 V | -3.0020 mV | -29.9380 mA | 363.1640 mW
2023/07/11 14:38:10 | 3.1450 (0) | 23.7846 dC | 64.8987 rH | 43.3333 lx | 0.3420 W/m^2 | 12.1100 V | -2.9650 mV | -29.5710 mA | 358.5860 mW
2023/07/11 14:38:15 | 3.1450 (0) | 23.7080 dC | 64.9094 rH | 48.3333 lx | 0.3815 W/m^2 | 12.1060 V | -2.9520 mV | -29.4490 mA | 357.0600 mW
2023/07/11 14:38:20 | 3.1450 (0) | 23.6757 dC | 64.9140 rH | 26.6667 lx | 0.2105 W/m^2 | 12.0710 V | -2.9250 mV | -29.1750 mA | 353.2450 mW
2023/07/11 14:38:25 | 3.1450 (0) | 23.6422 dC | 64.9189 rH | 27.5000 lx | 0.2170 W/m^2 | 12.0670 V | -2.9250 mV | -29.1750 mA | 352.4820 mW
2023/07/11 14:38:30 | 3.1450 (0) | 23.6305 dC | 64.9429 rH | 26.6667 lx | 0.2105 W/m^2 | 12.0720 V | -2.8770 mV | -28.6860 mA | 347.1420 mW
2023/07/11 14:38:35 | 3.1450 (0) | 23.6263 dC | 64.9097 rH | 27.5000 lx | 0.2170 W/m^2 | 12.0760 V | -2.8570 mV | -28.5030 mA | 344.8530 mW
2023/07/11 14:38:40 | 3.1450 (0) | 23.6326 dC | 64.9431 rH | 26.6667 lx | 0.2105 W/m^2 | 12.0780 V | -2.8370 mV | -28.2900 mA | 342.5640 mW
2023/07/11 14:38:45 | 3.1450 (0) | 23.6172 dC | 64.9645 rH | 27.5000 lx | 0.2170 W/m^2 | 12.0810 V | -2.8300 mV | -28.2290 mA | 341.8010 mW
2023/07/11 14:38:50 | 3.1450 (0) | 23.6195 dC | 64.9707 rH | 26.6667 lx | 0.2105 W/m^2 | 12.0820 V | -2.8250 mV | -28.1680 mA | 341.0380 mW
2023/07/11 14:38:55 | 3.1450 (0) | 23.6387 dC | 64.9828 rH | 26.6667 lx | 0.2105 W/m^2 | 12.0830 V | -2.8100 mV | -28.0150 mA | 339.5120 mW
2023/07/11 14:39:00 | 3.1450 (0) | 23.6263 dC | 64.9762 rH | 27.5000 lx | 0.2170 W/m^2 | 12.0830 V | -2.8100 mV | -28.0150 mA | 339.5120 mW
2023/07/11 14:39:05 | 3.1450 (0) | 23.6454 dC | 64.9936 rH | 27.5000 lx | 0.2170 W/m^2 | 12.0860 V | -2.7800 mV | -27.7400 mA | 335.6980 mW
2023/07/11 14:39:10 | 3.1450 (0) | 23.6687 dC | 64.9879 rH | 26.6667 lx | 0.2105 W/m^2 | 12.0880 V | -2.7650 mV | -27.5880 mA | 334.1720 mW
2023/07/11 14:39:15 | 3.1450 (0) | 23.6460 dC | 65.0072 rH | 26.6667 lx | 0.2105 W/m^2 | 12.0910 V | -2.7400 mV | -27.3130 mA | 331.1200 mW
2023/07/11 14:39:20 | 3.1450 (0) | 23.6712 dC | 64.9818 rH | 26.6667 lx | 0.2105 W/m^2 | 12.0910 V | -2.7250 mV | -27.1910 mA | 329.5940 mW
2023/07/11 14:39:25 | 3.1450 (0) | 23.6797 dC | 65.0084 rH | 27.5000 lx | 0.2170 W/m^2 | 12.0920 V | -2.7150 mV | -27.0690 mA | 328.0680 mW
2023/07/11 14:39:30 | 3.1450 (0) | 23.6980 dC | 64.9996 rH | 27.5000 lx | 0.2170 W/m^2 | 12.0950 V | -2.6970 mV | -26.9160 mA | 325.7790 mW
